Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 None	0.0078	-0.0088	0.9956	0.0	0.0	0.0	-0.873	-0.61	85.49	35.07	4139	402	-6609	333.1050697	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0078	-0.0088	0.9956	0.0	0.0	0.0	-0.873	-0.61	85.49	35.07	4139	402	-6609	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0078	-0.0088	0.9956	0.0	0.0	0.0	-0.873	-0.61	85.49	35.07	4139	402	-6609	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0078	-0.0088	0.9956	0.0	0.0	0.0	-0.873	-0.61	85.49	35.07	4139	402	-6609	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0073	-0.0083	0.9961	0.0	0.0	0.0	-0.873	-0.61	85.49	35.16	4077	390	-6572	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0073	-0.0083	0.9961	0.0	0.0	0.0	-0.873	-0.61	85.49	35.16	4077	390	-6572	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0073	-0.0083	0.9961	0.0	0.0	0.0	-0.873	-0.61	85.49	35.16	4077	390	-6572	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0073	-0.0083	0.9961	0.0	0.0	0.0	-0.873	-0.61	85.49	35.16	4077	390	-6572	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0073	-0.0083	0.9956	0.0	0.0	0.0	-0.873	-0.61	85.49	35.13	4136	385	-6577	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0073	-0.0083	0.9956	0.0	0.0	0.0	-0.873	-0.61	85.49	35.13	4136	385	-6577	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0073	-0.0083	0.9956	0.0	0.0	0.0	-0.873	-0.61	85.49	35.13	4136	385	-6577	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0073	-0.0083	0.9956	0.0	0.0	0.0	-0.873	-0.61	85.49	35.13	4136	385	-6577	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0073	-0.0093	0.9966	0.0	0.0	0.0	-0.873	-0.61	85.49	35.12	4097	394	-6557	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0073	-0.0093	0.9966	0.0	0.0	0.0	-0.873	-0.61	85.49	35.12	4097	394	-6557	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0073	-0.0093	0.9966	0.0	0.0	0.0	-0.873	-0.61	85.49	35.12	4097	394	-6557	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0073	-0.0093	0.9966	0.0	0.0	0.0	-0.873	-0.61	85.49	35.12	4097	394	-6557	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0078	-0.0088	0.9961	0.0	0.0	0.0	-0.873	-0.61	85.49	35.11	4203	398	-6602	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0078	-0.0088	0.9961	0.0	0.0	0.0	-0.873	-0.61	85.49	35.11	4203	398	-6602	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0078	-0.0088	0.9961	0.0	0.0	0.0	-0.873	-0.61	85.49	35.11	4203	398	-6602	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0078	-0.0088	0.9961	0.0	0.0	0.0	-0.873	-0.61	85.49	35.11	4203	398	-6602	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0078	-0.0083	0.9961	0.0	0.0	0.0	-0.873	-0.61	85.49	35.12	4120	393	-6591	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0078	-0.0083	0.9961	0.0	0.0	0.0	-0.873	-0.61	85.49	35.12	4120	393	-6591	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0078	-0.0083	0.9961	0.0	0.0	0.0	-0.873	-0.61	85.49	35.12	4120	393	-6591	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0078	-0.0083	0.9961	0.0	0.0	0.0	-0.873	-0.61	85.49	35.12	4120	393	-6591	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0073	-0.0088	0.9961	0.0	0.0	0.0	-0.873	-0.61	85.49	35.11	4255	394	-6612	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0073	-0.0088	0.9961	0.0	0.0	0.0	-0.873	-0.61	85.49	35.11	4255	394	-6612	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0073	-0.0088	0.9961	0.0	0.0	0.0	-0.873	-0.61	85.49	35.11	4255	394	-6612	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
 None	0.0073	-0.0088	0.9961	0.0	0.0	0.0	-0.873	-0.61	85.49	35.11	4255	394	-6612	333.1050695	32.5630288	0.0	0.0	-0.73434	0.00058	0.0058	-0.67868
