Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 None	0.0015	0.002	0.9971	0.0	0.0	0.0	-0.214	-0.297	-91.522	34.86	-5492	-177	-6532	333.1050714	32.5630294	0.0	0.0	0.6976	0.00015	-0.00177	-0.7164
 None	0.0015	0.002	0.9971	0.0	0.0	0.0	-0.214	-0.297	-91.522	34.86	-5492	-177	-6532	333.1050714	32.5630295	0.0	0.0	0.6976	0.00015	-0.00177	-0.7164
 None	0.0015	0.002	0.9971	0.0	0.0	0.0	-0.214	-0.297	-91.522	34.86	-5492	-177	-6532	333.1050714	32.5630295	0.0	0.0	0.6976	0.00015	-0.00177	-0.7164
 None	0.0015	0.002	0.9971	0.0	0.0	0.0	-0.214	-0.297	-91.522	34.86	-5492	-177	-6532	333.1050714	32.5630295	0.0	0.0	0.6976	0.00015	-0.00177	-0.7164
 None	0.001	0.0029	0.9966	0.0	0.0	0.0	-0.214	-0.297	-91.522	34.83	-5481	-174	-6539	333.1050714	32.5630295	0.0	0.0	0.6976	0.00015	-0.00177	-0.7164
 None	0.001	0.0029	0.9966	0.0	0.0	0.0	-0.214	-0.297	-91.522	34.83	-5481	-174	-6539	333.1050714	32.5630295	0.0	0.0	0.6976	0.00015	-0.00177	-0.7164
 None	0.001	0.0029	0.9966	0.0	0.0	0.0	-0.214	-0.297	-91.522	34.83	-5481	-174	-6539	333.1050714	32.5630295	0.0	0.0	0.6976	0.00015	-0.00177	-0.7164
 None	0.001	0.0029	0.9966	0.0	0.0	0.0	-0.214	-0.297	-91.522	34.83	-5481	-174	-6539	333.1050714	32.5630295	0.0	0.0	0.6976	0.00015	-0.00177	-0.7164
 None	0.002	0.0029	0.9961	0.0	0.0	0.0	-0.214	-0.297	-91.522	34.82	-5471	-124	-6577	333.1050714	32.5630295	0.0	0.0	0.6976	0.00015	-0.00177	-0.7164
 None	0.002	0.0029	0.9961	0.0	0.0	0.0	-0.214	-0.297	-91.522	34.82	-5471	-124	-6577	333.1050714	32.5630295	0.0	0.0	0.6976	0.00015	-0.00177	-0.7164
 None	0.002	0.0029	0.9961	0.0	0.0	0.0	-0.214	-0.297	-91.522	34.82	-5471	-124	-6577	333.1050714	32.5630295	0.0	0.0	0.6976	0.00015	-0.00177	-0.7164
 None	0.002	0.0029	0.9961	0.0	0.0	0.0	-0.214	-0.297	-91.522	34.82	-5471	-124	-6577	333.1050714	32.5630295	0.0	0.0	0.6976	0.00018	-0.00177	-0.7164
 None	0.002	0.0034	0.9956	0.0	0.0	0.0	-0.214	-0.297	-91.522	34.85	-5471	-138	-6539	333.1050714	32.5630295	0.0	0.0	0.6976	0.00018	-0.00177	-0.7164
