Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 None	0.0005	0.0024	0.9971	0.0	0.0	0.0	-0.225	-0.176	-137.769	33.32	-7817	-8181	-2630	333.1050407	32.5630068	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0005	0.0024	0.9971	0.0	0.0	0.0	-0.225	-0.176	-137.769	33.32	-7817	-8181	-2630	333.1050409	32.5630068	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0005	0.0024	0.9971	0.0	0.0	0.0	-0.225	-0.176	-137.769	33.32	-7817	-8181	-2630	333.1050409	32.5630068	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0005	0.0024	0.9971	0.0	0.0	0.0	-0.225	-0.176	-137.769	33.32	-7817	-8181	-2630	333.1050409	32.5630068	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0	0.0024	0.9961	0.0	0.0	0.0	-0.225	-0.176	-137.769	33.33	-7890	-8176	-2626	333.1050409	32.5630068	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0	0.0024	0.9961	0.0	0.0	0.0	-0.225	-0.176	-137.769	33.33	-7890	-8176	-2626	333.1050409	32.5630068	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0	0.0024	0.9961	0.0	0.0	0.0	-0.225	-0.176	-137.769	33.33	-7890	-8176	-2626	333.1050409	32.5630068	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0	0.0024	0.9961	0.0	0.0	0.0	-0.225	-0.176	-137.769	33.33	-7890	-8176	-2626	333.1050409	32.5630068	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0	0.0024	0.9971	0.0	0.0	0.0	-0.225	-0.176	-137.769	33.32	-7703	-8196	-2618	333.1050409	32.5630068	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0	0.0024	0.9971	0.0	0.0	0.0	-0.225	-0.176	-137.769	33.32	-7703	-8196	-2618	333.1050409	32.5630068	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0	0.0024	0.9971	0.0	0.0	0.0	-0.225	-0.176	-137.769	33.32	-7703	-8196	-2618	333.1050409	32.5630068	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0	0.0024	0.9971	0.0	0.0	0.0	-0.225	-0.176	-137.769	33.32	-7703	-8196	-2618	333.1050409	32.5630068	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0	0.0024	0.9976	0.0	0.0	0.0	-0.225	-0.176	-137.769	33.32	-7793	-8178	-2611	333.1050409	32.5630068	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0	0.0024	0.9976	0.0	0.0	0.0	-0.225	-0.176	-137.769	33.32	-7793	-8178	-2611	333.1050409	32.5630068	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0	0.0024	0.9976	0.0	0.0	0.0	-0.225	-0.176	-137.769	33.32	-7793	-8178	-2611	333.1050409	32.5630068	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0	0.0024	0.9976	0.0	0.0	0.0	-0.225	-0.176	-137.769	33.32	-7793	-8178	-2611	333.1050409	32.5630068	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0	0.0024	0.9966	0.0	0.0	0.0	-0.225	-0.176	-137.769	33.35	-7711	-8183	-2626	333.1050409	32.5630068	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0	0.0024	0.9966	0.0	0.0	0.0	-0.225	-0.176	-137.769	33.35	-7711	-8183	-2626	333.1050409	32.5630068	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0	0.0024	0.9966	0.0	0.0	0.0	-0.225	-0.176	-137.769	33.35	-7711	-8183	-2626	333.1050409	32.5630068	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0	0.0024	0.9966	0.0	0.0	0.0	-0.225	-0.176	-137.769	33.35	-7711	-8183	-2626	333.1050409	32.5630068	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0	0.002	0.9976	0.0	0.0	0.0	-0.231	-0.176	-137.769	33.34	-7783	-8180	-2616	333.1050409	32.5630068	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0	0.002	0.9976	0.0	0.0	0.0	-0.231	-0.176	-137.769	33.34	-7783	-8180	-2616	333.1050409	32.5630069	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0	0.002	0.9976	0.0	0.0	0.0	-0.231	-0.176	-137.769	33.34	-7783	-8180	-2616	333.1050409	32.5630069	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0	0.002	0.9976	0.0	0.0	0.0	-0.231	-0.176	-137.769	33.34	-7783	-8180	-2616	333.1050409	32.5630069	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0	0.0024	0.9971	0.0	0.0	0.0	-0.231	-0.176	-137.769	33.32	-7675	-8175	-2605	333.1050409	32.5630069	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0	0.0024	0.9971	0.0	0.0	0.0	-0.231	-0.176	-137.769	33.32	-7675	-8175	-2605	333.1050409	32.5630069	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0	0.0024	0.9971	0.0	0.0	0.0	-0.231	-0.176	-137.769	33.32	-7675	-8175	-2605	333.1050409	32.5630069	298.07	0.0	0.3602	0.0004	-0.00122	-0.93283
 None	0.0	0.0024	0.9971	0.0	0.0	0.0	-0.231	-0.176	-137.769	33.32	-7675	-8175	-2605	333.1050409	32.5630069	298.07	0.0	0.3602	0.0004	-0.00119	-0.93283
 None	0.0	0.0029	0.9971	0.0	0.0	0.0	-0.231	-0.176	-137.769	33.32	-7792	-8173	-2607	333.1050409	32.5630069	298.07	0.0	0.3602	0.0004	-0.00119	-0.93283
 None	0.0	0.0029	0.9971	0.0	0.0	0.0	-0.231	-0.176	-137.769	33.32	-7792	-8173	-2607	333.1050409	32.5630069	298.07	0.0	0.3602	0.0004	-0.00119	-0.93283
 None	0.0	0.0029	0.9971	0.0	0.0	0.0	-0.231	-0.176	-137.769	33.32	-7792	-8173	-2607	333.1050409	32.5630069	298.07	0.0	0.3602	0.0004	-0.00119	-0.93283
 None	0.0	0.0029	0.9971	0.0	0.0	0.0	-0.231	-0.176	-137.769	33.32	-7792	-8173	-2607	333.1050409	32.5630069	298.07	0.0	0.3602	0.0004	-0.00119	-0.93283
 None	0.0	0.0024	0.9971	0.0	0.0	0.0	-0.231	-0.176	-137.769	33.35	-7835	-8173	-2612	333.1050409	32.5630069	298.07	0.0	0.3602	0.0004	-0.00119	-0.93283
