Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 None	0.0015	-0.0005	0.9966	0.0	0.0	0.0	-0.434	-0.28	-96.817	34.54	-5371	-623	-6728	333.105076	32.5630371	0.0	0.0	0.66376	-0.0011	-0.00021	-0.74789
 None	0.0015	-0.0005	0.9966	0.0	0.0	0.0	-0.434	-0.28	-96.817	34.54	-5371	-623	-6728	333.105076	32.5630371	0.0	0.0	0.66376	-0.0011	-0.00021	-0.74789
 None	0.0015	-0.0005	0.9966	0.0	0.0	0.0	-0.434	-0.28	-96.817	34.54	-5371	-623	-6728	333.105076	32.5630371	0.0	0.0	0.66376	-0.0011	-0.00021	-0.74789
 None	0.0015	-0.0005	0.9966	0.0	0.0	0.0	-0.434	-0.28	-96.817	34.54	-5371	-623	-6728	333.105076	32.5630371	0.0	0.0	0.66376	-0.0011	-0.00021	-0.74789
 None	0.002	-0.0005	0.9961	0.0	0.0	0.0	-0.434	-0.28	-96.817	34.52	-5382	-616	-6713	333.105076	32.5630371	0.0	0.0	0.66376	-0.0011	-0.00021	-0.74789
 None	0.002	-0.0005	0.9961	0.0	0.0	0.0	-0.434	-0.28	-96.817	34.52	-5382	-616	-6713	333.105076	32.5630371	0.0	0.0	0.66376	-0.0011	-0.00021	-0.74789
 None	0.002	-0.0005	0.9961	0.0	0.0	0.0	-0.434	-0.28	-96.817	34.52	-5382	-616	-6713	333.105076	32.5630371	0.0	0.0	0.66376	-0.0011	-0.00021	-0.74789
 None	0.002	-0.0005	0.9961	0.0	0.0	0.0	-0.434	-0.28	-96.817	34.52	-5382	-616	-6713	333.105076	32.5630371	0.0	0.0	0.66376	-0.0011	-0.00021	-0.74789
 None	0.0015	0.0	0.9966	0.0	0.0	0.0	-0.434	-0.28	-96.817	34.51	-5380	-622	-6720	333.105076	32.5630371	0.0	0.0	0.66376	-0.0011	-0.00021	-0.74789
 None	0.0015	0.0	0.9966	0.0	0.0	0.0	-0.434	-0.28	-96.817	34.51	-5380	-622	-6720	333.105076	32.5630371	0.0	0.0	0.66376	-0.0011	-0.00021	-0.74789
 None	0.0015	0.0	0.9966	0.0	0.0	0.0	-0.434	-0.28	-96.817	34.51	-5380	-622	-6720	333.105076	32.5630371	0.0	0.0	0.66376	-0.0011	-0.00021	-0.74789
 None	0.0015	0.0	0.9966	0.0	0.0	0.0	-0.434	-0.28	-96.817	34.51	-5380	-622	-6720	333.105076	32.5630371	0.0	0.0	0.66376	-0.0011	-0.00021	-0.74789
 None	0.002	-0.001	0.9966	0.0	0.0	0.0	-0.434	-0.28	-96.817	34.52	-5388	-626	-6729	333.105076	32.5630371	0.0	0.0	0.66376	-0.0011	-0.00021	-0.74789
 None	0.002	-0.001	0.9966	0.0	0.0	0.0	-0.434	-0.28	-96.817	34.52	-5388	-626	-6729	333.105076	32.5630371	0.0	0.0	0.66376	-0.0011	-0.00021	-0.74789
 None	0.002	-0.001	0.9966	0.0	0.0	0.0	-0.434	-0.28	-96.817	34.52	-5388	-626	-6729	333.105076	32.5630371	0.0	0.0	0.66376	-0.0011	-0.00021	-0.74789
 None	0.002	-0.001	0.9966	0.0	0.0	0.0	-0.434	-0.28	-96.817	34.52	-5388	-626	-6729	333.105076	32.5630371	0.0	0.0	0.66376	-0.0011	-0.00021	-0.74789
 None	0.002	-0.0005	0.9961	0.0	0.0	0.0	-0.434	-0.28	-96.817	34.48	-5389	-626	-6734	333.105076	32.5630371	0.0	0.0	0.66376	-0.0011	-0.00021	-0.74789
