Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 None	0.0044	0.0039	0.9971	0.0	0.0	0.0	-0.159	-0.456	-56.382	33.58	-5048	920	-6733	333.1050944	32.5630374	202.78	0.0	0.88135	0.00043	-0.00308	-0.47238
 None	0.0044	0.0039	0.9971	0.0	0.0	0.0	-0.159	-0.456	-56.382	33.58	-5048	920	-6733	333.1050944	32.5630374	202.78	0.0	0.88135	0.00043	-0.00308	-0.47238
 None	0.0044	0.0039	0.9971	0.0	0.0	0.0	-0.159	-0.456	-56.382	33.58	-5048	920	-6733	333.1050944	32.5630374	202.78	0.0	0.88135	0.00043	-0.00308	-0.47238
 None	0.0044	0.0039	0.9971	0.0	0.0	0.0	-0.159	-0.456	-56.382	33.58	-5048	920	-6733	333.1050944	32.5630374	202.78	0.0	0.88135	0.00046	-0.00308	-0.47238
 None	0.0044	0.0034	0.9971	0.0	0.0	0.0	-0.159	-0.456	-56.382	33.55	-5048	919	-6725	333.1050944	32.5630374	202.78	0.0	0.88135	0.00046	-0.00308	-0.47238
 None	0.0044	0.0034	0.9971	0.0	0.0	0.0	-0.159	-0.456	-56.382	33.55	-5048	919	-6725	333.1050944	32.5630374	202.78	0.0	0.88135	0.00046	-0.00308	-0.47238
 None	0.0044	0.0034	0.9971	0.0	0.0	0.0	-0.159	-0.456	-56.382	33.55	-5048	919	-6725	333.1050944	32.5630374	202.78	0.0	0.88135	0.00046	-0.00308	-0.47238
 None	0.0044	0.0034	0.9971	0.0	0.0	0.0	-0.159	-0.456	-56.382	33.55	-5048	919	-6725	333.1050944	32.5630374	202.78	0.0	0.88135	0.00046	-0.00308	-0.47238
 None	0.0044	0.0039	0.9976	0.0	0.0	0.0	-0.159	-0.456	-56.382	33.55	-5056	922	-6710	333.1050944	32.5630374	202.78	0.0	0.88135	0.00046	-0.00308	-0.47238
 None	0.0044	0.0039	0.9976	0.0	0.0	0.0	-0.159	-0.456	-56.382	33.55	-5056	922	-6710	333.1050944	32.5630374	202.78	0.0	0.88135	0.00046	-0.00308	-0.47238
 None	0.0044	0.0039	0.9976	0.0	0.0	0.0	-0.159	-0.456	-56.382	33.55	-5056	922	-6710	333.1050944	32.5630374	202.78	0.0	0.88135	0.00046	-0.00308	-0.47238
 None	0.0044	0.0039	0.9976	0.0	0.0	0.0	-0.159	-0.456	-56.382	33.55	-5056	922	-6710	333.1050944	32.5630374	202.78	0.0	0.88135	0.00046	-0.00308	-0.47238
 None	0.0044	0.0034	0.9971	0.0	0.0	0.0	-0.159	-0.456	-56.382	33.57	-5059	899	-6720	333.1050944	32.5630374	202.78	0.0	0.88135	0.00046	-0.00308	-0.47238
 None	0.0044	0.0034	0.9971	0.0	0.0	0.0	-0.159	-0.456	-56.382	33.57	-5059	899	-6720	333.1050944	32.5630374	202.78	0.0	0.88135	0.00046	-0.00308	-0.47238
 None	0.0044	0.0034	0.9971	0.0	0.0	0.0	-0.159	-0.456	-56.382	33.57	-5059	899	-6720	333.1050944	32.5630374	202.78	0.0	0.88135	0.00046	-0.00308	-0.47238
 None	0.0044	0.0034	0.9971	0.0	0.0	0.0	-0.159	-0.456	-56.382	33.57	-5059	899	-6720	333.1050944	32.5630374	202.78	0.0	0.88135	0.00046	-0.00308	-0.47238
 None	0.0049	0.0034	0.9961	0.0	0.0	0.0	-0.159	-0.456	-56.382	33.58	-5053	903	-6704	333.1050944	32.5630374	202.78	0.0	0.88135	0.00046	-0.00308	-0.47238
