Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 None	0.0044	0.0034	0.9971	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.54	-5038	920	-6707	333.1050959	32.5630384	202.78	0.0	0.88135	0.00043	-0.00305	-0.47238
 None	0.0044	0.0034	0.9971	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.54	-5038	920	-6707	333.1050959	32.5630384	202.78	0.0	0.88135	0.00043	-0.00305	-0.47238
 None	0.0044	0.0034	0.9971	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.54	-5038	920	-6707	333.1050959	32.5630384	202.78	0.0	0.88135	0.00043	-0.00305	-0.47238
 None	0.0044	0.0034	0.9971	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.54	-5038	920	-6707	333.1050959	32.5630384	202.78	0.0	0.88135	0.00043	-0.00305	-0.47238
 None	0.0049	0.0034	0.9976	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.58	-5051	926	-6708	333.1050959	32.5630384	202.78	0.0	0.88135	0.00043	-0.00305	-0.47238
 None	0.0049	0.0034	0.9976	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.58	-5051	926	-6708	333.1050959	32.5630384	202.78	0.0	0.88135	0.00043	-0.00305	-0.47238
 None	0.0049	0.0034	0.9976	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.58	-5051	926	-6708	333.1050959	32.5630384	202.78	0.0	0.88135	0.00043	-0.00305	-0.47238
 None	0.0049	0.0034	0.9976	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.58	-5051	926	-6708	333.1050959	32.5630384	202.78	0.0	0.88135	0.00043	-0.00305	-0.47238
 None	0.0054	0.0034	0.9976	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.58	-5056	917	-6704	333.1050959	32.5630384	202.78	0.0	0.88135	0.00043	-0.00305	-0.47238
 None	0.0054	0.0034	0.9976	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.58	-5056	917	-6704	333.1050959	32.5630384	202.78	0.0	0.88135	0.00043	-0.00305	-0.47238
 None	0.0054	0.0034	0.9976	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.58	-5056	917	-6704	333.1050959	32.5630384	202.78	0.0	0.88135	0.00043	-0.00305	-0.47238
 None	0.0054	0.0034	0.9976	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.58	-5056	917	-6704	333.1050959	32.5630384	202.78	0.0	0.88135	0.00043	-0.00305	-0.47238
 None	0.0049	0.0034	0.998	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.57	-5051	925	-6690	333.1050959	32.5630384	202.78	0.0	0.88135	0.00043	-0.00305	-0.47238
 None	0.0049	0.0034	0.998	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.57	-5051	925	-6690	333.1050959	32.5630384	202.78	0.0	0.88135	0.00043	-0.00305	-0.47238
 None	0.0049	0.0034	0.998	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.57	-5051	925	-6690	333.1050959	32.5630384	202.78	0.0	0.88135	0.00043	-0.00305	-0.47238
 None	0.0049	0.0034	0.998	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.57	-5051	925	-6690	333.1050959	32.5630384	202.78	0.0	0.88135	0.00043	-0.00305	-0.47238
 None	0.0049	0.0034	0.9966	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.55	-5042	921	-6718	333.1050959	32.5630384	202.78	0.0	0.88135	0.00043	-0.00305	-0.47238
 None	0.0049	0.0034	0.9966	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.55	-5042	921	-6718	333.1050959	32.5630384	202.78	0.0	0.88135	0.00043	-0.00305	-0.47238
 None	0.0049	0.0034	0.9966	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.55	-5042	921	-6718	333.1050959	32.5630384	202.78	0.0	0.88135	0.00043	-0.00305	-0.47238
 None	0.0049	0.0034	0.9966	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.55	-5042	921	-6718	333.1050959	32.5630384	202.78	0.0	0.88135	0.00043	-0.00305	-0.47238
 None	0.0049	0.0029	0.9976	0.0	0.0	0.0	-0.165	-0.45	-56.382	33.58	-5047	913	-6724	333.1050959	32.5630384	202.78	0.0	0.88135	0.00043	-0.00305	-0.47238
 None	0.0049	0.0029	0.9976	0.0	0.0	0.0	-0.165	-0.45	-56.382	33.58	-5047	913	-6724	333.1050959	32.5630384	202.78	0.0	0.88135	0.00043	-0.00305	-0.47238
 None	0.0049	0.0029	0.9976	0.0	0.0	0.0	-0.165	-0.45	-56.382	33.58	-5047	913	-6724	333.1050959	32.5630384	202.78	0.0	0.88135	0.00043	-0.00305	-0.47238
 None	0.0049	0.0029	0.9976	0.0	0.0	0.0	-0.165	-0.45	-56.382	33.58	-5047	913	-6724	333.1050959	32.5630384	202.78	0.0	0.88135	0.00046	-0.00305	-0.47238
 None	0.0044	0.0034	0.9976	0.0	0.0	0.0	-0.165	-0.45	-56.382	33.6	-5050	914	-6742	333.1050959	32.5630384	202.78	0.0	0.88135	0.00046	-0.00305	-0.47238
