Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 None	0.002	-0.0005	0.9966	0.0	0.0	0.0	-0.434	-0.291	-96.817	34.37	-5381	-627	-6765	333.1050819	32.5630395	0.0	0.0	0.66376	-0.00116	-0.00027	-0.74789
 None	0.002	-0.0005	0.9966	0.0	0.0	0.0	-0.434	-0.291	-96.817	34.37	-5381	-627	-6765	333.1050819	32.5630395	0.0	0.0	0.66376	-0.00116	-0.00027	-0.74789
 None	0.002	-0.0005	0.9966	0.0	0.0	0.0	-0.434	-0.291	-96.817	34.37	-5381	-627	-6765	333.1050819	32.5630395	0.0	0.0	0.66376	-0.00116	-0.00027	-0.74789
 None	0.002	-0.0005	0.9966	0.0	0.0	0.0	-0.434	-0.291	-96.817	34.37	-5381	-627	-6765	333.1050819	32.5630395	0.0	0.0	0.66376	-0.00116	-0.00024	-0.74789
 None	0.002	-0.001	0.9956	0.0	0.0	0.0	-0.434	-0.286	-96.817	34.33	-5369	-625	-6718	333.1050819	32.5630395	0.0	0.0	0.66376	-0.00116	-0.00024	-0.74789
 None	0.002	-0.001	0.9956	0.0	0.0	0.0	-0.434	-0.286	-96.817	34.33	-5369	-625	-6718	333.105082	32.5630395	0.0	0.0	0.66376	-0.00116	-0.00024	-0.74789
 None	0.002	-0.001	0.9956	0.0	0.0	0.0	-0.434	-0.286	-96.817	34.33	-5369	-625	-6718	333.105082	32.5630395	0.0	0.0	0.66376	-0.00116	-0.00024	-0.74789
 None	0.002	-0.001	0.9956	0.0	0.0	0.0	-0.434	-0.286	-96.817	34.33	-5369	-625	-6718	333.105082	32.5630395	0.0	0.0	0.66376	-0.00116	-0.00024	-0.74789
 None	0.002	-0.0005	0.9961	0.0	0.0	0.0	-0.434	-0.286	-96.817	34.34	-5369	-635	-6719	333.105082	32.5630395	0.0	0.0	0.66376	-0.00116	-0.00024	-0.74789
 None	0.002	-0.0005	0.9961	0.0	0.0	0.0	-0.434	-0.286	-96.817	34.34	-5369	-635	-6719	333.105082	32.5630395	0.0	0.0	0.66376	-0.00116	-0.00024	-0.74789
 None	0.002	-0.0005	0.9961	0.0	0.0	0.0	-0.434	-0.286	-96.817	34.34	-5369	-635	-6719	333.105082	32.5630395	0.0	0.0	0.66376	-0.00116	-0.00024	-0.74789
 None	0.002	-0.0005	0.9961	0.0	0.0	0.0	-0.434	-0.286	-96.817	34.34	-5369	-635	-6719	333.105082	32.5630395	0.0	0.0	0.66376	-0.00116	-0.00024	-0.74789
 None	0.002	-0.0015	0.9956	0.0	0.0	0.0	-0.434	-0.286	-96.817	34.34	-5371	-622	-6708	333.105082	32.5630395	0.0	0.0	0.66376	-0.00116	-0.00024	-0.74789
 None	0.002	-0.0015	0.9956	0.0	0.0	0.0	-0.434	-0.286	-96.817	34.34	-5371	-622	-6708	333.105082	32.5630395	0.0	0.0	0.66376	-0.00116	-0.00024	-0.74789
 None	0.002	-0.0015	0.9956	0.0	0.0	0.0	-0.434	-0.286	-96.817	34.34	-5371	-622	-6708	333.105082	32.5630395	0.0	0.0	0.66376	-0.00116	-0.00024	-0.74789
 None	0.002	-0.0015	0.9956	0.0	0.0	0.0	-0.434	-0.286	-96.817	34.34	-5371	-622	-6708	333.105082	32.5630395	0.0	0.0	0.66376	-0.00116	-0.00024	-0.74789
 None	0.0015	-0.001	0.9961	0.0	0.0	0.0	-0.434	-0.286	-96.817	34.4	-5377	-625	-6717	333.105082	32.5630395	0.0	0.0	0.66376	-0.00116	-0.00024	-0.74789
